,Constituency_No,Position,Candidate,Sex,Party,Votes,Age,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_ID,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,Education_Qualification,Main_Profession,Main_Profession_Desc,Second_Profession,Second_Profession_Desc,Result
0,1,1,GOVINDARAJAN T.J,M,DMK,126452,60.0,222069,284412,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,78.08,56.94,no,50938,22.94,2.27,AETN272719,10192,1.0,,,,,,1.0,False,False,False,10th Pass,Business,,,,Won
1,1,2,PRAKASH M,M,PMK,75514,50.0,222069,284412,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,78.08,34.0,no,63813,28.74,2.27,AETN272725,11891,1.0,,,,,,0.0,False,False,False,10th Pass,Salaried Work or Employed,Qualified Professional,,,Lost
2,1,3,USHA,F,NTK,11701,31.0,222069,284412,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,78.08,5.27,yes,9125,4.11,2.27,AETN272722,5533,1.0,,,,,,0.0,False,False,False,8th Pass,Agriculture,,,,Lost
3,1,4,DILLIY K.M,M,DMDK,2576,45.0,222069,284412,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,78.08,1.16,yes,793,0.36,2.27,AETN272720,2956,1.0,,,,,,0.0,False,False,False,8th Pass,Other,,,,Lost
4,1,5,None Of The Above,,NOTA,1783,,222069,284412,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,78.08,0.8,,745,0.34,2.27,,5897,,,,,,,,,,,,,,,,
5,1,6,NAGARAJ S,M,BSP,1038,28.0,222069,284412,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,78.08,0.47,yes,222,0.1,2.27,AETN272721,16651,1.0,,,,,,0.0,False,False,False,Graduate Professional,Other,,,,Lost
6,1,7,SARAVANAN V,M,IJK,816,33.0,222069,284412,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,78.08,0.37,yes,284,0.13,2.27,AETN272724,3969,1.0,,,,,,0.0,False,False,False,Others,Business,,,,Lost
7,1,8,SARAVANAN E,M,IND,532,44.0,222069,284412,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,78.08,0.24,yes,50,0.02,2.27,AETN272726,10809,1.0,,,,,,0.0,False,False,False,10th Pass,Labourer or Daily Wage,,,,Lost
8,1,9,DEVANATHAN R,M,IND,482,26.0,222069,284412,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,78.08,0.22,yes,108,0.05,2.27,AETN272727,10809,1.0,,,,,,0.0,False,False,False,Graduate Professional,Other,,,,Lost
9,1,10,LAKSHMI R,F,IND,374,52.0,222069,284412,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,78.08,0.17,yes,23,0.01,2.27,AETN272730,10809,1.0,,,,,,0.0,False,False,False,10th Pass,Business,,,,Lost
10,1,11,PRAKASH K,M,IND,351,49.0,222069,284412,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,78.08,0.16,yes,97,0.04,2.27,AETN272728,10809,1.0,,,,,,0.0,False,False,False,Graduate,Business,,,,Lost
11,1,12,GOWTHAM J,M,Anaithu Makkal Arasiyal Katchi,254,26.0,222069,284412,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,78.08,0.11,yes,58,0.03,2.27,AETN272723,24293,1.0,,,,,,0.0,False,False,False,Graduate Professional,Other,,,,Lost
12,1,13,PRAKASH M,M,IND,196,52.0,222069,284412,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,78.08,0.09,yes,0,0.0,2.27,AETN272729,10809,1.0,,,,,,0.0,False,False,False,Graduate,Agriculture,,,,Lost
13,2,1,DURAI. CHANDRASEKAR,M,INC,94528,48.0,210354,268994,PONNERI,SC,TIRUVALLUR,CHENNAI CITY REGION,10,78.2,44.94,no,9689,4.61,2.7,AETN272731,3482,1.0,,,,,,1.0,False,False,False,Graduate Professional,Liberal Profession or Professional,Lawyer,,,Won
14,2,2,BALARAMAN. P,M,ADMK,84839,59.0,210354,268994,PONNERI,SC,TIRUVALLUR,CHENNAI CITY REGION,10,78.2,40.33,no,65812,31.29,2.7,AETN186802,930,2.0,ADMK,930.0,PONNERI,True,True,1.0,False,True,True,Post Graduate,Agriculture,,,,Lost
15,2,3,MAHESWARI. A,F,NTK,19027,35.0,210354,268994,PONNERI,SC,TIRUVALLUR,CHENNAI CITY REGION,10,78.2,9.05,yes,13633,6.48,2.7,AETN272734,5533,1.0,,,,,,0.0,False,False,False,,,,,,Lost
16,2,4,DESINGURAJAN. D,M,MNM,5394,52.0,210354,268994,PONNERI,SC,TIRUVALLUR,CHENNAI CITY REGION,10,78.2,2.56,yes,2562,1.22,2.7,AETN272733,24404,1.0,,,,,,0.0,False,False,False,12th Pass,Agriculture,,,,Lost
17,2,5,PON. RAJA,M,AMMK,2832,45.0,210354,268994,PONNERI,SC,TIRUVALLUR,CHENNAI CITY REGION,10,78.2,1.35,yes,1278,0.61,2.7,AETN190555,24338,2.0,ADMK,930.0,PONNERI,True,False,1.0,True,False,False,Graduate Professional,Business,,,,Lost
18,2,6,None Of The Above,,NOTA,1554,,210354,268994,PONNERI,SC,TIRUVALLUR,CHENNAI CITY REGION,10,78.2,0.74,,448,0.21,2.7,,5897,,,,,,,,,,,,,,,,
19,2,7,BHAVANI ILAVENIL. J,F,BSP,1106,31.0,210354,268994,PONNERI,SC,TIRUVALLUR,CHENNAI CITY REGION,10,78.2,0.53,yes,636,0.3,2.7,AETN272732,16651,1.0,,,,,,0.0,False,False,False,Graduate,Business,,,,Lost
20,2,8,ASHOK PRIYADARSHAN. S,M,IND,470,42.0,210354,268994,PONNERI,SC,TIRUVALLUR,CHENNAI CITY REGION,10,78.2,0.22,yes,172,0.08,2.7,AETN272736,10809,1.0,,,,,,0.0,False,False,False,Post Graduate,Education,School Teacher,Social Work,Activist,Lost
21,2,9,SUGUMAR. K,M,IND,298,40.0,210354,268994,PONNERI,SC,TIRUVALLUR,CHENNAI CITY REGION,10,78.2,0.14,yes,108,0.05,2.7,GETN10499,10809,1.0,,,,,,0.0,False,False,False,Graduate Professional,Liberal Profession or Professional,Lawyer,,,Lost
22,2,10,VIJAYAKUMAR. V,M,Anna MGR Dravida Makkal Kalgam,190,41.0,210354,268994,PONNERI,SC,TIRUVALLUR,CHENNAI CITY REGION,10,78.2,0.09,yes,74,0.04,2.7,AETN272735,24294,1.0,,,,,,0.0,False,False,False,10th Pass,Small Business or Self-employed,,,,Lost
23,2,11,SAMBATH KUMAR.C.H,M,IND,116,50.0,210354,268994,PONNERI,SC,TIRUVALLUR,CHENNAI CITY REGION,10,78.2,0.06,yes,0,0.0,2.7,AETN272737,10809,1.0,,,,,,0.0,False,False,False,8th Pass,Business,,,,Lost
24,3,1,S.Chandran,M,DMK,120314,57.0,232624,295358,TIRUTTANI,GEN,TIRUVALLUR,CHENNAI CITY REGION,14,78.76,51.72,no,29253,12.58,2.38,AETN272739,10192,1.0,,,,,,1.0,False,False,False,Graduate Professional,Business,,,,Won
25,3,2,G.Hari,M,ADMK,91061,60.0,232624,295358,TIRUTTANI,GEN,TIRUVALLUR,CHENNAI CITY REGION,14,78.76,39.15,no,79054,33.98,2.38,AETN198785,930,3.0,ADMK,930.0,TIRUTTANI,True,True,1.0,False,False,False,Post Graduate,Liberal Profession or Professional,Lawyer,,,Lost
26,3,3,L.AKILA,F,NTK,12007,31.0,232624,295358,TIRUTTANI,GEN,TIRUVALLUR,CHENNAI CITY REGION,14,78.76,5.16,yes,8079,3.47,2.38,AETN272741,5533,1.0,,,,,,0.0,False,False,False,8th Pass,Small Business or Self-employed,Shop Keeper,,,Lost
27,3,4,D.Krishnamoorthi,M,DMDK,3928,58.0,232624,295358,TIRUTTANI,GEN,TIRUVALLUR,CHENNAI CITY REGION,14,78.76,1.69,yes,2263,0.97,2.38,AETN272738,2956,1.0,,,,,,0.0,False,False,False,10th Pass,Business,Real Estate or Builder or Developer or Construction,,,Lost
28,3,5,None Of The Above,,NOTA,1665,,232624,295358,TIRUTTANI,GEN,TIRUVALLUR,CHENNAI CITY REGION,14,78.76,0.72,,776,0.33,2.38,,5897,,,,,,,,,,,,,,,,
29,3,6,D.PAULRAJ,M,IND,889,33.0,232624,295358,TIRUTTANI,GEN,TIRUVALLUR,CHENNAI CITY REGION,14,78.76,0.38,yes,121,0.05,2.38,AETN272748,10809,1.0,,,,,,0.0,False,False,False,Graduate Professional,Liberal Profession or Professional,Lawyer,,,Lost
30,3,7,V.P.Vijayan,M,IND,768,25.0,232624,295358,TIRUTTANI,GEN,TIRUVALLUR,CHENNAI CITY REGION,14,78.76,0.33,yes,51,0.02,2.38,AETN272749,10809,1.0,,,,,,0.0,False,False,False,,,,,,Lost
31,3,8,N.MAGENDIRAN,M,BSP,717,38.0,232624,295358,TIRUTTANI,GEN,TIRUVALLUR,CHENNAI CITY REGION,14,78.76,0.31,yes,351,0.15,2.38,AETN272740,16651,1.0,,,,,,0.0,False,False,False,12th Pass,Social Work,,,,Lost
32,3,9,M.Hari,M,IND,366,39.0,232624,295358,TIRUTTANI,GEN,TIRUVALLUR,CHENNAI CITY REGION,14,78.76,0.16,yes,13,0.01,2.38,AETN272744,10809,1.0,,,,,,0.0,False,False,False,5th Pass,Labourer or Daily Wage,Auto-rickshaw Driver,,,Lost
33,3,10,M.D.Thanigai Malai,M,IJK,353,49.0,232624,295358,TIRUTTANI,GEN,TIRUVALLUR,CHENNAI CITY REGION,14,78.76,0.15,yes,171,0.07,2.38,AETN272742,3969,1.0,,,,,,0.0,False,False,False,10th Pass,Business,,,,Lost
34,3,11,A.J.Suresh,M,IND,182,35.0,232624,295358,TIRUTTANI,GEN,TIRUVALLUR,CHENNAI CITY REGION,14,78.76,0.08,yes,35,0.02,2.38,AETN272747,10809,1.0,,,,,,0.0,False,False,False,Graduate Professional,Small Business or Self-employed,Self-employed,,,Lost
35,3,12,Shettu,M,IND,147,47.0,232624,295358,TIRUTTANI,GEN,TIRUVALLUR,CHENNAI CITY REGION,14,78.76,0.06,yes,26,0.01,2.38,AETN190577,10809,2.0,IND,10809.0,TIRUTTANI,True,True,0.0,False,False,False,Graduate,Agriculture,,,,Lost
36,3,13,Manikkam,M,All India Jananayaka Makkal Kazhagam,121,36.0,232624,295358,TIRUTTANI,GEN,TIRUVALLUR,CHENNAI CITY REGION,14,78.76,0.05,yes,61,0.03,2.38,AETN272743,24295,1.0,,,,,,0.0,False,False,False,12th Pass,Labourer or Daily Wage,,,,Lost
37,3,14,Chandran,M,IND,60,45.0,232624,295358,TIRUTTANI,GEN,TIRUVALLUR,CHENNAI CITY REGION,14,78.76,0.03,yes,14,0.01,2.38,AETN272745,10809,1.0,,,,,,0.0,False,False,False,5th Pass,Labourer or Daily Wage,,,,Lost
38,3,15,Chandran,M,IND,46,50.0,232624,295358,TIRUTTANI,GEN,TIRUVALLUR,CHENNAI CITY REGION,14,78.76,0.02,yes,0,0.0,2.38,AETN272746,10809,1.0,,,,,,0.0,False,False,False,Illiterate,Labourer or Daily Wage,,,,Lost
39,4,1,"RAAJENDRAN, V.G.",M,DMK,107709,53.0,214243,277516,THIRUVALLUR,GEN,TIRUVALLUR,CHENNAI CITY REGION,11,77.2,50.27,no,22701,10.6,2.44,AETN186831,10192,2.0,DMK,10192.0,THIRUVALLUR,True,True,2.0,False,True,True,,,,,,Won
40,4,2,"RAMANAH, BE VEE",M,ADMK,85008,53.0,214243,277516,THIRUVALLUR,GEN,TIRUVALLUR,CHENNAI CITY REGION,11,77.2,39.68,no,69980,32.66,2.44,AETN272750,930,1.0,,,,,,0.0,False,False,False,Others,Business,,,,Lost
41,4,3,"PASUPATHY, P.",M,NTK,15028,50.0,214243,277516,THIRUVALLUR,GEN,TIRUVALLUR,CHENNAI CITY REGION,11,77.2,7.01,yes,12699,5.93,2.44,AETN272752,5533,1.0,,,,,,0.0,False,False,False,Others,Small Business or Self-employed,Self-employed,,,Lost
42,4,4,"DOSS, D.",M,BSP,2329,50.0,214243,277516,THIRUVALLUR,GEN,TIRUVALLUR,CHENNAI CITY REGION,11,77.2,1.09,yes,457,0.21,2.44,GETN10622,16651,2.0,BSP,16651.0,TIRUTTANI,False,True,0.0,False,False,False,10th Pass,Business,,,,Lost
43,4,5,None Of The Above,,NOTA,1872,,214243,277516,THIRUVALLUR,GEN,TIRUVALLUR,CHENNAI CITY REGION,11,77.2,0.87,,795,0.37,2.44,,5897,,,,,,,,,,,,,,,,
44,4,6,"GURU, N.",M,AMMK,1077,42.0,214243,277516,THIRUVALLUR,GEN,TIRUVALLUR,CHENNAI CITY REGION,11,77.2,0.5,yes,689,0.32,2.44,AETN272751,24338,1.0,,,,,,0.0,False,False,False,Post Graduate,Business,,,,Lost
45,4,7,"RAJENDIRAN, G.",M,IND,388,54.0,214243,277516,THIRUVALLUR,GEN,TIRUVALLUR,CHENNAI CITY REGION,11,77.2,0.18,yes,105,0.05,2.44,AETN272757,10809,1.0,,,,,,0.0,False,False,False,Graduate,Business,,,,Lost
46,4,8,"REVATHI, R.",F,IND,283,38.0,214243,277516,THIRUVALLUR,GEN,TIRUVALLUR,CHENNAI CITY REGION,11,77.2,0.13,yes,51,0.02,2.44,AETN272758,10809,1.0,,,,,,0.0,False,False,False,12th Pass,Labourer or Daily Wage,Coolie,,,Lost
47,4,9,"BALA KRISHNAN, N.",M,IND,232,44.0,214243,277516,THIRUVALLUR,GEN,TIRUVALLUR,CHENNAI CITY REGION,11,77.2,0.11,yes,99,0.05,2.44,AETN186840,10809,2.0,IND,10809.0,THIRUVALLUR,True,True,0.0,False,False,True,8th Pass,Business,,,,Lost
48,4,10,"KUMAR, E.",M,IND,133,47.0,214243,277516,THIRUVALLUR,GEN,TIRUVALLUR,CHENNAI CITY REGION,11,77.2,0.06,yes,36,0.02,2.44,AETN272753,10809,1.0,,,,,,0.0,False,False,False,10th Pass,Labourer or Daily Wage,Taxi Driver,,,Lost
49,4,11,"RAMANAN, R.",M,IND,97,44.0,214243,277516,THIRUVALLUR,GEN,TIRUVALLUR,CHENNAI CITY REGION,11,77.2,0.05,yes,10,0.0,2.44,AETN272756,10809,1.0,,,,,,0.0,False,False,False,Graduate Professional,Liberal Profession or Professional,Lawyer,,,Lost
50,4,12,"SASIKUMAR, J.",M,IND,87,34.0,214243,277516,THIRUVALLUR,GEN,TIRUVALLUR,CHENNAI CITY REGION,11,77.2,0.04,yes,0,0.0,2.44,AETN272754,10809,1.0,,,,,,0.0,False,False,False,Graduate Professional,Business,,,,Lost
51,5,1,Krishnaswamy A,M,DMK,149578,55.0,263736,361331,POONAMALLEE,SC,TIRUVALLUR,CHENNAI CITY REGION,14,72.99,56.72,no,94110,35.68,2.7,GETN6025,10192,2.0,DMK,10192.0,POONAMALLEE,True,True,2.0,False,True,True,Graduate Professional,Liberal Profession or Professional,Lawyer,,,Won
52,5,2,Rajamannar S X,M,PMK,55468,63.0,263736,361331,POONAMALLEE,SC,TIRUVALLUR,CHENNAI CITY REGION,14,72.99,21.03,no,25597,9.71,2.7,AETN204500,11891,3.0,DMK,10192.0,POTTAPIDARAM,False,False,1.0,True,False,False,Graduate Professional,Liberal Profession or Professional,Lawyer,,,Lost
53,5,3,Manimekalai A,F,NTK,29871,30.0,263736,361331,POONAMALLEE,SC,TIRUVALLUR,CHENNAI CITY REGION,14,72.99,11.33,yes,17944,6.8,2.7,AETN272763,5533,1.0,,,,,,0.0,False,False,False,Others,Small Business or Self-employed,Self-employed,,,Lost
54,5,4,Revathi Manimegalai J,F,MNM,11927,54.0,263736,361331,POONAMALLEE,SC,TIRUVALLUR,CHENNAI CITY REGION,14,72.99,4.52,yes,3122,1.18,2.7,AETN272764,24404,1.0,,,,,,0.0,False,False,False,10th Pass,Business,,,,Lost
55,5,5,Elumalai T.A.,M,AMMK,8805,54.0,263736,361331,POONAMALLEE,SC,TIRUVALLUR,CHENNAI CITY REGION,14,72.99,3.34,yes,5914,2.24,2.7,AETN186852,24338,3.0,IND,10809.0,POONAMALLEE,True,False,1.0,False,False,True,Graduate Professional,Business,,,,Lost
56,5,6,Sathyamurthy A C,M,BSP,2891,41.0,263736,361331,POONAMALLEE,SC,TIRUVALLUR,CHENNAI CITY REGION,14,72.99,1.1,yes,24,0.01,2.7,AETN272760,16651,1.0,,,,,,0.0,False,False,False,Graduate Professional,Liberal Profession or Professional,Lawyer,,,Lost
57,5,7,None Of The Above,,NOTA,2867,,263736,361331,POONAMALLEE,SC,TIRUVALLUR,CHENNAI CITY REGION,14,72.99,1.09,,2419,0.92,2.7,,5897,,,,,,,,,,,,,,,,
58,5,8,Ravikumar M,M,IND,448,32.0,263736,361331,POONAMALLEE,SC,TIRUVALLUR,CHENNAI CITY REGION,14,72.99,0.17,yes,45,0.02,2.7,AETN272768,10809,1.0,,,,,,0.0,False,False,False,10th Pass,Business,Agricultural Business,,,Lost
59,5,9,Sivakumar S,M,IND,403,51.0,263736,361331,POONAMALLEE,SC,TIRUVALLUR,CHENNAI CITY REGION,14,72.99,0.15,yes,44,0.02,2.7,AETN272765,10809,1.0,,,,,,0.0,False,False,False,Graduate,Business,Real Estate or Builder or Developer or Construction,,,Lost
60,5,10,Velu S,M,IND,359,44.0,263736,361331,POONAMALLEE,SC,TIRUVALLUR,CHENNAI CITY REGION,14,72.99,0.14,yes,69,0.03,2.7,AETN276539,10809,2.0,IND,10809.0,POONAMALLEE,True,True,0.0,False,False,True,Graduate,Business,,,,Lost
61,5,11,Boshya Gayathri M,F,My India Party,290,25.0,263736,361331,POONAMALLEE,SC,TIRUVALLUR,CHENNAI CITY REGION,14,72.99,0.11,yes,49,0.02,2.7,AETN272762,24339,1.0,,,,,,0.0,False,False,False,Post Graduate,Salaried Work or Employed,,,,Lost
62,5,12,Rajesh P,M,IND,241,31.0,263736,361331,POONAMALLEE,SC,TIRUVALLUR,CHENNAI CITY REGION,14,72.99,0.09,yes,1,0.0,2.7,AETN272769,10809,1.0,,,,,,0.0,False,False,False,8th Pass,Labourer or Daily Wage,Auto-rickshaw Driver,,,Lost
63,5,13,Venkatesan J,M,IND,240,45.0,263736,361331,POONAMALLEE,SC,TIRUVALLUR,CHENNAI CITY REGION,14,72.99,0.09,yes,65,0.02,2.7,AETN272770,10809,1.0,,,,,,0.0,False,False,False,,,,,,Lost
64,5,14,Purushothaman B,M,IND,175,51.0,263736,361331,POONAMALLEE,SC,TIRUVALLUR,CHENNAI CITY REGION,14,72.99,0.07,yes,2,0.0,2.7,AETN272767,10809,1.0,,,,,,0.0,False,False,False,10th Pass,Business,,,,Lost
65,5,15,Dhasarathan R,M,IND,173,53.0,263736,361331,POONAMALLEE,SC,TIRUVALLUR,CHENNAI CITY REGION,14,72.99,0.07,yes,0,0.0,2.7,AETN276542,10809,2.0,IND,10809.0,POONAMALLEE,True,True,0.0,False,False,True,5th Pass,Agriculture,,,,Lost
66,6,1,Nasar S M,M,DMK,150287,61.0,300927,446678,AVADI,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,67.37,49.94,no,55275,18.37,2.78,AETN186867,10192,2.0,DMK,10192.0,AVADI,True,True,1.0,False,False,True,10th Pass,Business,,,,Won
67,6,2,Pandiarajan K,M,ADMK,95012,61.0,300927,446678,AVADI,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,67.37,31.57,no,64925,21.57,2.78,GETN10939,930,3.0,ADMK,930.0,AVADI,True,True,2.0,False,True,True,Post Graduate,Liberal Profession or Professional,Consultant,,,Lost
68,6,3,VIJAYALAKSHMI G,F,NTK,30087,35.0,300927,446678,AVADI,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,67.37,10.0,yes,12995,4.32,2.78,AETN272777,5533,1.0,,,,,,0.0,False,False,False,Graduate,Salaried Work or Employed,Qualified Professional,,,Lost
69,6,4,Udhayakumar V,M,MNM,17092,49.0,300927,446678,AVADI,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,67.37,5.68,yes,14711,4.89,2.78,AETN272773,24404,1.0,,,,,,0.0,False,False,False,10th Pass,Business,,,,Lost
70,6,5,None Of The Above,,NOTA,2381,,300927,446678,AVADI,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,67.37,0.79,,470,0.16,2.78,,5897,,,,,,,,,,,,,,,,
71,6,6,Sankar N M,M,DMDK,1911,51.0,300927,446678,AVADI,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,67.37,0.64,yes,648,0.22,2.78,AETN272772,2956,1.0,,,,,,0.0,False,False,False,8th Pass,Small Business or Self-employed,Self-employed,,,Lost
72,6,7,Balasubramanian M,M,Tamil Nadu Ilangyar Katchi,1263,48.0,300927,446678,AVADI,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,67.37,0.42,yes,490,0.16,2.78,AETN272774,24405,1.0,,,,,,0.0,False,False,False,Others,Small Business or Self-employed,,,,Lost
73,6,8,CHARLES S,M,BSP,773,40.0,300927,446678,AVADI,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,67.37,0.26,yes,413,0.14,2.78,AETN186872,16651,2.0,BSP,16651.0,AVADI,True,True,0.0,False,False,True,12th Pass,Business,,,,Lost
74,6,9,Pandiarajan G,M,IND,360,31.0,300927,446678,AVADI,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,67.37,0.12,yes,60,0.02,2.78,AETN186875,10809,2.0,IND,10809.0,AVADI,True,True,0.0,False,False,True,Graduate,Business,,,,Lost
75,6,10,Jayakumar P,M,IND,300,45.0,300927,446678,AVADI,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,67.37,0.1,yes,69,0.02,2.78,AETN272784,10809,1.0,,,,,,0.0,False,False,False,Graduate,Other,,,,Lost
76,6,11,Shanavas Khan J,M,IND,231,41.0,300927,446678,AVADI,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,67.37,0.08,yes,33,0.01,2.78,AETN190616,10809,2.0,IND,10809.0,AVADI,True,True,0.0,False,False,False,Post Graduate,Liberal Profession or Professional,Lawyer,,,Lost
77,6,12,Nagaraj M,M,IND,198,66.0,300927,446678,AVADI,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,67.37,0.07,yes,11,0.0,2.78,AETN272782,10809,1.0,,,,,,0.0,False,False,False,5th Pass,Unemployed,,,,Lost
78,6,13,Dharani K,M,IND,187,41.0,300927,446678,AVADI,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,67.37,0.06,yes,44,0.01,2.78,AETN186876,10809,2.0,IND,10809.0,AVADI,True,True,0.0,False,False,True,8th Pass,Business,,,,Lost
79,6,14,Sugumar M,M,IND,143,46.0,300927,446678,AVADI,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,67.37,0.05,yes,16,0.01,2.78,AETN272781,10809,1.0,,,,,,0.0,False,False,False,Graduate Professional,Liberal Profession or Professional,Lawyer,,,Lost
80,6,15,Banumathi,F,My India Party,127,36.0,300927,446678,AVADI,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,67.37,0.04,yes,7,0.0,2.78,AETN272775,24339,1.0,,,,,,0.0,False,False,False,12th Pass,Other,,,,Lost
81,6,16,Raman N,M,Tamilnadu Makkal Nalvazhvu Periyakkam,120,51.0,300927,446678,AVADI,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,67.37,0.04,yes,12,0.0,2.78,AETN272776,24296,1.0,,,,,,0.0,False,False,False,Graduate,Salaried Work or Employed,,,,Lost
82,6,17,Viswanathan R,M,MGR Makkal Katchi,108,64.0,300927,446678,AVADI,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,67.37,0.04,yes,3,0.0,2.78,AETN272778,24297,1.0,,,,,,0.0,False,False,False,Post Graduate,Other,,,,Lost
83,6,18,Chandrasekar.A,M,IND,105,39.0,300927,446678,AVADI,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,67.37,0.03,yes,10,0.0,2.78,AETN272780,10809,1.0,,,,,,0.0,False,False,False,12th Pass,Business,Private Company,,,Lost
84,6,19,Venkatesan M,M,IND,95,45.0,300927,446678,AVADI,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,67.37,0.03,yes,20,0.01,2.78,AETN272783,10809,1.0,,,,,,0.0,False,False,False,Doctorate,Other,,,,Lost
85,6,20,Durgaprasad G,M,IND,75,37.0,300927,446678,AVADI,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,67.37,0.02,yes,3,0.0,2.78,AETN186879,10809,2.0,IND,10809.0,AVADI,True,True,0.0,False,False,True,10th Pass,Business,,,,Lost
86,6,21,Akilan T.M.,M,IND,72,36.0,300927,446678,AVADI,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,67.37,0.02,yes,0,0.0,2.78,AETN272779,10809,1.0,,,,,,0.0,False,False,False,Graduate Professional,Business,,,,Lost
87,7,1,GANAPATHY.K,M,DMK,121298,61.0,273870,454179,MADURAVOYAL,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,60.3,44.29,no,31721,11.58,3.03,AETN272785,10192,1.0,,,,,,1.0,False,False,False,8th Pass,Business,Real Estate or Builder or Developer or Construction,,,Won
88,7,2,BENJAMIN.P,M,ADMK,89577,51.0,273870,454179,MADURAVOYAL,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,60.3,32.71,no,56176,20.51,3.03,AETN186887,930,2.0,ADMK,930.0,MADURAVOYAL,True,True,1.0,False,True,True,Graduate,Politics,Party Worker,Agriculture,,Lost
89,7,3,PADMA PRIYA.S,F,MNM,33401,25.0,273870,454179,MADURAVOYAL,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,60.3,12.2,yes,12356,4.51,3.03,AETN272792,24404,1.0,,,,,,0.0,False,False,False,Post Graduate,Small Business or Self-employed,Self-employed,,,Lost
90,7,4,GANESHKUMAR.G,M,NTK,21045,35.0,273870,454179,MADURAVOYAL,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,60.3,7.68,yes,18385,6.71,3.03,AETN272788,5533,1.0,,,,,,0.0,False,False,False,Post Graduate,Liberal Profession or Professional,Architect,Small Business or Self-employed,Self-employed,Lost
91,7,5,LUCKY MURUGAN.E,M,AMMK,2660,41.0,273870,454179,MADURAVOYAL,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,60.3,0.97,yes,514,0.19,3.03,AETN272794,24338,1.0,,,,,,0.0,False,False,False,Graduate,Agriculture,,,,Lost
92,7,6,None Of The Above,,NOTA,2146,,273870,454179,MADURAVOYAL,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,60.3,0.78,,1238,0.45,3.03,,5897,,,,,,,,,,,,,,,,
93,7,7,SHANMUGAM.K,M,Tamil Nadu Ilangyar Katchi,908,34.0,273870,454179,MADURAVOYAL,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,60.3,0.33,yes,280,0.1,3.03,AETN272789,24405,1.0,,,,,,0.0,False,False,False,Graduate,Other,,,,Lost
94,7,8,SANTHAKUMAR.Y,M,BSP,628,36.0,273870,454179,MADURAVOYAL,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,60.3,0.23,yes,75,0.03,3.03,AETN272786,16651,1.0,,,,,,0.0,False,False,False,10th Pass,Business,,,,Lost
