Unnamed: 0,Constituency_No,Position,Candidate,Sex,Party,Votes,Age,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,No_of_Candidates,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_ID,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,Education_Qualification,Main_Profession,Main_Profession_Desc,Second_Profession,Second_Profession_Desc,Result,Non_Voters,Non_Voters_Percentage,Non_Voters_Percentage_1,Invalid_Votes_percentage,No_Terms_lost,Alliance,Current_Status
3219,180,1,V . MUTHURAJA,M,DMK,85802,44.0,179892,246630,PUDUKKOTTAI,GEN,PUDUKKOTTAI,CENTRAL REGION,22,72.94,47.7,no,13001,7.23,2.56,AETN275447,10192,1.0,,,,,,1.0,False,False,False,Graduate Professional,Liberal Profession or Professional,Doctor,,,Won,66738,27.06,27.05996837367717,0.0031626322833488,0.0,SPA,Position gained
3241,181,1,S.REGUPATHY,M,DMK,71349,70.0,174031,229441,THIRUMAYAM,GEN,PUDUKKOTTAI,CENTRAL REGION,23,75.85,41.0,no,1382,0.79,2.94,AETN197851,10192,7.0,DMK,10192.0,THIRUMAYAM,True,True,3.0,False,True,True,Graduate Professional,Liberal Profession or Professional,Lawyer,,,Won,55410,24.15000000000001,24.14999934623716,6.537628465252965e-05,4.0,SPA,Consecutive win
3264,182,1,SIVA.V.MEYYANATHAN,M,DMK,87935,52.0,171842,218990,ALANGUDI,GEN,PUDUKKOTTAI,CENTRAL REGION,12,78.47,51.17,no,25847,15.04,2.5,AETN189646,10192,2.0,DMK,10192.0,ALANGUDI,True,True,2.0,False,True,True,Post Graduate,Politics,MLA,Agriculture,,Won,47148,21.53,21.52975021690488,0.0249783095121358,0.0,SPA,Consecutive win
3276,183,1,RAMACHANDRAN T,M,INC,81835,40.0,168048,239350,ARANTANGI,GEN,PUDUKKOTTAI,CENTRAL REGION,23,70.21,48.7,no,30893,18.38,2.94,AETN271717,3482,2.0,INC,3482.0,ARANTHANGI,True,True,1.0,False,False,True,Graduate Professional,Business,,Politics,Party Worker,Won,71302,29.790000000000006,29.789847503655736,0.0152496344270502,1.0,SPA,Position gained
3299,184,1,S.Mangudi,M,INC,75954,58.0,212456,320785,KARAIKUDI,GEN,SIVAGANGA,SOUTHERN REGION,14,66.23,35.75,no,21589,10.16,4.0,AETN275514,3482,1.0,,,,,,1.0,False,False,False,Graduate,Other,,,,Won,108329,33.77,33.76997054101657,0.0029458983426877,0.0,SPA,Position gained
3313,185,1,KR.PERIYAKARUPPAN,M,DMK,103682,61.0,210766,292811,TIRUPPATTUR,GEN,SIVAGANGA,SOUTHERN REGION,27,71.98,49.19,no,37374,17.73,2.94,AETN272085,10192,3.0,IND,10809.0,TIRUPPATTUR,True,False,2.0,False,False,True,Graduate,Agriculture,,,,Won,82045,28.02,28.01978067763848,0.021932236151656,1.0,SPA,Position gained
3340,186,1,PR. Senthilnathan,M,ADMK,82153,53.0,202044,304788,SIVAGANGA,GEN,SIVAGANGA,SOUTHERN REGION,16,66.29,40.66,no,11253,5.57,3.23,GETN10813,930,1.0,,,,,,1.0,False,False,False,Graduate Professional,Liberal Profession or Professional,Lawyer,Agriculture,,Won,102744,33.709999999999994,33.709988582227645,0.001141777234892,0.0,NDA,Position gained
3356,187,1,Tamilarasi A.,F,DMK,89364,44.0,203061,281833,MANAMADURAI,SC,SIVAGANGA,SOUTHERN REGION,14,72.05,44.01,no,14091,6.94,2.94,AETN192803,10192,2.0,DMK,10192.0,MANAMADURAI,True,True,1.0,False,False,False,Graduate,Politics,Party Worker,Agriculture,,Won,78772,27.950000000000003,27.94988521571285,0.0114784287152502,1.0,SPA,Position gained
3370,188,1,PERIYAPULLAN @ SELVAM  P.,M,ADMK,83344,49.0,182782,246237,MELUR,GEN,MADURAI,SOUTHERN REGION,16,74.23,45.6,no,35162,19.24,3.12,AETN189737,930,2.0,ADMK,930.0,MELUR,True,True,2.0,False,True,True,Graduate,Politics,MP,,,Won,63455,25.77,25.769888359588528,0.0111640411468272,0.0,NDA,Consecutive win
3386,189,1,MOORTHY P,M,DMK,122729,62.0,237892,333462,MADURAI EAST,GEN,MADURAI,SOUTHERN REGION,16,71.34,51.59,no,49604,20.85,2.7,AETN270994,10192,3.0,DMK,10192.0,MADURAI EAST,True,True,2.0,False,True,True,12th Pass,Small Business or Self-employed,,Politics,MLA,Won,95570,28.66,28.65993726421601,0.0062735783984635,1.0,SPA,Consecutive win
3402,190,1,VENKATESAN A,M,DMK,84240,45.0,175361,220607,SHOLAVANDAN,SC,MADURAI,SOUTHERN REGION,21,79.49,48.04,no,17045,9.72,2.56,AETN275602,10192,1.0,,,,,,1.0,False,False,False,Graduate,Agriculture,,,,Won,45246,20.510000000000005,20.509775301780994,0.0224698219010832,0.0,SPA,Position gained
3423,191,1,THALAPATHI G,M,DMK,73010,65.0,156556,246157,MADURAI NORTH,GEN,MADURAI,SOUTHERN REGION,16,63.6,46.64,no,22916,14.64,2.94,AETN200516,10192,5.0,DMK,10192.0,MADURAI WEST,False,True,2.0,False,False,True,10th Pass,Politics,Party Worker,Agriculture,,Won,89601,36.4,36.39993987577034,0.00601242296554,3.0,SPA,Position gained
3439,192,1,BOOMINATHAN.M,M,DMK,62812,61.0,147833,231713,MADURAI SOUTH,GEN,MADURAI,SOUTHERN REGION,14,63.8,42.49,no,6515,4.41,2.86,AETN197556,10192,5.0,MDMK,11601.0,MADURAI SOUTH,True,False,1.0,True,False,True,,Business,Real Estate or Builder or Developer or Construction,Retired or Pension,,Won,83880,36.2,36.19995425375356,0.004574624644249,4.0,SPA,Position gained
