Constituency_No,Position,Candidate,Sex,Party,Votes,Age,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_ID,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,Education_Qualification,Main_Profession,Main_Profession_Desc,Second_Profession,Second_Profession_Desc,Result,Invalid_Votes
27,24,K.NARASIMMAN,M,IND,58,42.0,388355,699612,SHOZHINGANALLUR,GEN,KANCHIPURAM,CHENNAI CITY REGION,26,55.51,0.01,yes,1,0.0,2.94,AETN190984,10809,2.0,IND,10809.0,SHOZHINGANALLUR,True,True,0.0,False,False,False,10th Pass,Other,,,,Lost,311257
28,1,T.M.Anbarasan,M,DMK,116785,61.0,237751,390909,ALANDUR,GEN,KANCHIPURAM,CHENNAI CITY REGION,25,60.82,49.12,no,40571,17.06,2.86,AETN193697,10192,4.0,DMK,10192.0,ALANDUR,True,True,3.0,False,True,True,,,,,,Won,153158
28,2,B.Valarmathi,F,ADMK,76214,62.0,237751,390909,ALANDUR,GEN,KANCHIPURAM,CHENNAI CITY REGION,25,60.82,32.06,no,55097,23.17,2.86,AETN187189,930,6.0,ADMK,930.0,THOUSAND LIGHTS,False,True,3.0,False,False,True,10th Pass,Social Work,,,,Lost,153158
29,1,SELVAPERUNTHAGAI,M,INC,115353,60.0,264262,357400,SRIPERUMBUDUR,SC,KANCHIPURAM,CHENNAI CITY REGION,15,73.94,43.65,no,10879,4.12,2.78,AETN191390,3482,3.0,INC,3482.0,SRIPERUMBUDUR,True,True,1.0,False,False,True,Graduate Professional,Business,,Social Work,,Won,93138
30,7,SERMA SELVARAJ,M,Desiya Makkal Sakthi Katchi,525,49.0,266194,437387,PALLAVARAM,GEN,KANCHIPURAM,CHENNAI CITY REGION,22,60.86,0.2,yes,6,0.0,2.78,AETN187366,2953,2.0,DMSK,2953.0,ALANDUR,False,True,0.0,False,False,True,Post Graduate,Liberal Profession or Professional,Lawyer,,,Lost,171193
30,14,VEERALAKSHMI,F,My India Party,171,32.0,266194,437387,PALLAVARAM,GEN,KANCHIPURAM,CHENNAI CITY REGION,22,60.86,0.06,yes,4,0.0,2.78,AETN187387,24339,2.0,MDMK,11601.0,PALLAVARAM,True,False,0.0,True,False,True,Post Graduate,Politics,Party Worker,,,Lost,171193
31,1,Raja.S.R,M,DMK,116840,64.0,248968,418082,TAMBARAM,GEN,KANCHIPURAM,CHENNAI CITY REGION,22,59.55,46.93,no,36824,14.79,2.94,AETN187400,10192,4.0,DMK,10192.0,TAMBARAM,True,True,3.0,False,True,True,8th Pass,Business,,,,Won,169114
31,2,Chinnaiyah.T.K.M,M,ADMK,80016,59.0,248968,418082,TAMBARAM,GEN,KANCHIPURAM,CHENNAI CITY REGION,22,59.55,32.14,no,57486,23.09,2.94,AETN191052,930,2.0,ADMK,930.0,TAMBARAM,True,True,1.0,False,False,False,Graduate,Retired or Pension,,,,Lost,169114
32,1,VARALAKSHMI.M,F,DMK,130573,47.0,274087,431361,CHENGALPATTU,GEN,KANCHIPURAM,CHENNAI CITY REGION,13,63.54,47.64,no,26665,9.73,2.63,AETN271850,10192,2.0,DMK,10192.0,CHENGALPATTU,True,True,2.0,False,True,True,Others,Business,Rent,Agriculture,,Won,157274
32,3,SANJEEVINATHAN.K,M,NTK,26868,40.0,274087,431361,CHENGALPATTU,GEN,KANCHIPURAM,CHENNAI CITY REGION,13,63.54,9.8,yes,22722,8.29,2.63,AETN187424,5533,2.0,NTK,5533.0,CHENGALPATTU,True,True,0.0,False,False,True,8th Pass,Small Business or Self-employed,,,,Lost,157274
32,4,MUTHAMILSELVAN.S,M,IJK,4146,47.0,274087,431361,CHENGALPATTU,GEN,KANCHIPURAM,CHENNAI CITY REGION,13,63.54,1.51,yes,1071,0.39,2.63,AETN187425,3969,3.0,IJK,3969.0,CHENGALPATTU,True,True,0.0,False,False,True,Graduate,Business,,,,Lost,157274
32,14,GOPALAKRISHNAN.N,M,IND,129,49.0,274087,431361,CHENGALPATTU,GEN,KANCHIPURAM,CHENNAI CITY REGION,13,63.54,0.05,yes,0,0.0,2.63,AETN196482,10809,3.0,IND,10809.0,CHENGALPATTU,True,True,0.0,False,False,False,Graduate,Social Work,,,,Lost,157274
33,5,Kothandapani.M,M,AMMK,7662,62.0,226729,296921,THIRUPORUR,GEN,KANCHIPURAM,CHENNAI CITY REGION,11,76.36,3.38,yes,5680,2.51,2.94,AETN211865,24338,4.0,IND,10809.0,THIRUPOROR,False,False,1.0,False,False,True,Graduate,Agriculture,,,,Lost,70192
33,7,V.K.Pakkiri Ambadkar,M,BSP,1135,54.0,226729,296921,THIRUPORUR,GEN,KANCHIPURAM,CHENNAI CITY REGION,11,76.36,0.5,yes,768,0.34,2.94,AETN191092,16651,3.0,IND,10809.0,THIRUPORUR,True,False,0.0,False,False,False,10th Pass,Agriculture,,,,Lost,70192
33,9,S.Nataraj,M,IND,271,37.0,226729,296921,THIRUPORUR,GEN,KANCHIPURAM,CHENNAI CITY REGION,11,76.36,0.12,yes,3,0.0,2.94,AETN200084,10809,2.0,IND,10809.0,TIRUPPUR,False,True,0.0,False,False,False,8th Pass,Business,,,,Lost,70192
35,2,Sathya. C.E,M,DMK,83076,57.0,185842,230430,MADURANTHAKAM,SC,KANCHIPURAM,CHENNAI CITY REGION,10,80.65,44.7,no,73783,39.7,2.38,GETN15760,10192,3.0,MDMK,11601.0,THIRUPORUR,False,False,0.0,True,False,False,Post Graduate,Social Work,,,,Lost,44588
36,1,SUNDAR K,M,DMK,93427,66.0,210529,262832,UTHIRAMERUR,GEN,KANCHIPURAM,CHENNAI CITY REGION,20,80.1,44.38,no,1622,0.77,2.56,AETN202640,10192,7.0,DMK,10192.0,UTHIRAMERUR,True,True,5.0,False,True,True,Graduate,Business,Agricultural Business,Liberal Profession or Professional,Film Director,Won,52303
36,2,SOMASUNDARAM V,M,ADMK,91805,55.0,210529,262832,UTHIRAMERUR,GEN,KANCHIPURAM,CHENNAI CITY REGION,20,80.1,43.61,no,80400,38.19,2.56,AETN193775,930,4.0,ADMK,930.0,KANCHEEPURAM,False,True,2.0,False,False,False,Graduate Professional,Business,,,,Lost,52303
36,8,SURESH D,M,BSP,602,40.0,210529,262832,UTHIRAMERUR,GEN,KANCHIPURAM,CHENNAI CITY REGION,20,80.1,0.29,yes,154,0.07,2.56,AETN187481,16651,2.0,BSP,16651.0,UTHIRAMERUR,True,True,0.0,False,False,True,10th Pass,Labourer or Daily Wage,,,,Lost,52303
36,9,MADHAVARAJ.K.V,M,IND,448,53.0,210529,262832,UTHIRAMERUR,GEN,KANCHIPURAM,CHENNAI CITY REGION,20,80.1,0.21,yes,115,0.05,2.56,GETN9860,10809,2.0,IND,10809.0,UTHIRAMERUR,True,True,0.0,False,False,True,12th Pass,Salaried Work or Employed,Qualified Professional,,,Lost,52303
36,15,AROKIASAMY.J,M,IND,104,69.0,210529,262832,UTHIRAMERUR,GEN,KANCHIPURAM,CHENNAI CITY REGION,20,80.1,0.05,yes,0,0.0,2.56,AETN191124,10809,2.0,IND,10809.0,UTHIRAMERUR,True,True,0.0,False,False,False,12th Pass,Agriculture,,,,Lost,52303
37,2,P. Magesh Kumar,M,PMK,91117,41.0,229432,313089,KANCHEEPURAM,GEN,KANCHIPURAM,CHENNAI CITY REGION,15,73.28,39.71,no,77171,33.64,2.78,AETN187490,11891,2.0,PMK,11891.0,KANCHEEPURAM,True,True,0.0,False,False,True,Graduate,Business,,,,Lost,83657
37,9,D.GNANAMOORTHY,M,IND,415,50.0,229432,313089,KANCHEEPURAM,GEN,KANCHIPURAM,CHENNAI CITY REGION,15,73.28,0.18,yes,167,0.07,2.78,AETN187501,10809,2.0,IND,10809.0,KANCHEEPURAM,True,True,0.0,False,False,True,5th Pass,Labourer or Daily Wage,,,,Lost,83657
38,1,S.RAVI,M,ADMK,85399,57.0,171412,228885,ARAKONAM,SC,VELLORE,CHENNAI CITY REGION,13,74.89,49.82,no,27169,15.85,2.63,AETN187503,930,4.0,ADMK,930.0,ARAKKONAM,True,True,3.0,False,True,True,Graduate Professional,Liberal Profession or Professional,Lawyer,,,Won,57473
38,6,P.SUDHAKAR,M,BSP,1825,42.0,171412,228885,ARAKONAM,SC,VELLORE,CHENNAI CITY REGION,13,74.89,1.06,yes,169,0.1,2.63,AETN191152,16651,3.0,BSP,16651.0,ARAKKONAM,True,True,0.0,False,False,True,12th Pass,Salaried Work or Employed,,,,Lost,57473
38,14,V.RAVI,M,IND,97,54.0,171412,228885,ARAKONAM,SC,VELLORE,CHENNAI CITY REGION,13,74.89,0.06,yes,0,0.0,2.63,AETN270831,10809,2.0,IND,10809.0,ARAKKONAM,True,True,0.0,False,False,True,10th Pass,Labourer or Daily Wage,,,,Lost,57473
39,1,A.M.MUNIRATHINAM,M,INC,110228,65.0,224109,279821,SHOLINGHUR,GEN,VELLORE,CHENNAI CITY REGION,18,80.09,49.18,no,26698,11.91,2.63,AETN205324,3482,6.0,INC,3482.0,SHOLINGUR,False,True,4.0,False,False,False,10th Pass,Business,Transport,,,Won,55712
39,3,N.G.PARTHIBAN,M,AMMK,12979,46.0,224109,279821,SHOLINGHUR,GEN,VELLORE,CHENNAI CITY REGION,18,80.09,5.79,yes,3323,1.48,2.63,AETN187516,24338,2.0,ADMK,930.0,SHOLINGUR,False,False,1.0,True,False,False,Graduate Professional,Liberal Profession or Professional,Lawyer,,,Lost,55712
39,8,M.GIRIDHARAN,M,BSP,614,35.0,224109,279821,SHOLINGHUR,GEN,VELLORE,CHENNAI CITY REGION,18,80.09,0.27,yes,27,0.01,2.63,AETN187523,16651,2.0,BSP,16651.0,SHOLINGUR,False,True,0.0,False,False,False,Others,Labourer or Daily Wage,Taxi Driver,,,Lost,55712
39,16,C.MUNIRATHINAM,M,IND,174,52.0,224109,279821,SHOLINGHUR,GEN,VELLORE,CHENNAI CITY REGION,18,80.09,0.08,yes,42,0.02,2.63,AETN187525,10809,2.0,IND,10809.0,SHOLINGUR,False,True,0.0,False,False,False,10th Pass,Agriculture,,,,Lost,55712
40,1,DURAIMURUGAN,M,DMK,85140,83.0,186246,251683,KATPADI,GEN,VELLORE,CHENNAI CITY REGION,15,74.0,45.71,no,746,0.4,2.38,AETN271302,10192,12.0,DMK,10192.0,KATPADI,True,True,10.0,False,True,True,Post Graduate,Social Work,,,,Won,65437
41,1,R.GANDHI,M,DMK,103291,75.0,207462,268593,RANIPET,GEN,VELLORE,CHENNAI CITY REGION,14,77.24,49.79,no,16498,7.95,2.33,AETN193881,10192,6.0,DMK,10192.0,RANIPET,True,True,4.0,False,True,True,10th Pass,Business,Agricultural Business,,,Won,61131
41,6,A.YUVARAJ,M,BSP,669,32.0,207462,268593,RANIPET,GEN,VELLORE,CHENNAI CITY REGION,14,77.24,0.32,yes,32,0.02,2.33,AETN187556,16651,2.0,BSP,16651.0,RANIPET,True,True,0.0,False,False,True,,,,,,Lost,61131
41,15,K.SAKTHIVEL NATHAN,M,IND,48,48.0,207462,268593,RANIPET,GEN,VELLORE,CHENNAI CITY REGION,14,77.24,0.02,yes,0,0.0,2.33,AETN191187,10809,4.0,IND,10809.0,RANIPET,True,True,0.0,False,False,True,12th Pass,Labourer or Daily Wage,,,,Lost,61131
42,1,J.L.Eswarappan,M,DMK,103885,42.0,209791,263490,ARCOT,GEN,VELLORE,CHENNAI CITY REGION,12,79.62,49.52,no,19958,9.51,2.44,AETN187562,10192,2.0,DMK,10192.0,ARCOT,True,True,2.0,False,True,True,Graduate Professional,Other,,,,Won,53699
42,2,Elavazagan.K.L,M,PMK,83927,52.0,209791,263490,ARCOT,GEN,VELLORE,CHENNAI CITY REGION,12,79.62,40.01,no,71839,34.24,2.44,AETN198832,11891,5.0,PMK,11891.0,ANAIKATTU,False,True,1.0,False,False,True,10th Pass,Retired or Pension,,,,Lost,53699
44,1,A.P.Nandakumar,M,DMK,95159,52.0,197805,256722,ANAIKATTU,GEN,VELLORE,CHENNAI CITY REGION,13,77.05,48.11,no,6360,3.22,2.33,AETN187592,10192,2.0,DMK,10192.0,ANAIKATTU,True,True,2.0,False,True,True,12th Pass,Business,Hospitality,,,Won,58917
45,1,M.JAGAN MOORTHY,M,ADMK,84579,54.0,174124,227613,KILVAITHINANKUPPAM,SC,VELLORE,CHENNAI CITY REGION,10,76.5,48.57,no,10582,6.08,2.38,AETN193859,930,3.0,PB,6276.0,POONMALLAE,False,False,2.0,True,False,False,12th Pass,Social Work,,,,Won,53489
45,2,K Seetharaman,M,DMK,73997,63.0,174124,227613,KILVAITHINANKUPPAM,SC,VELLORE,CHENNAI CITY REGION,10,76.5,42.5,no,63970,36.74,2.38,AETN191221,10192,2.0,DMK,10192.0,KILVAITHINANKUPPAM,True,True,0.0,False,False,False,10th Pass,Agriculture,,,,Lost,53489
46,3,Kalaiyenthiri.R,F,NTK,11834,30.0,211630,291662,GUDIYATHAM,SC,VELLORE,CHENNAI CITY REGION,15,72.56,5.59,yes,10024,4.74,2.33,AETN276395,5533,2.0,NTK,5533.0,GUDIYATTAM,True,True,0.0,False,False,True,Graduate Professional,Liberal Profession or Professional,Lawyer,,,Lost,80032
46,4,Jayanthi Padmanaban.C,F,AMMK,1810,40.0,211630,291662,GUDIYATHAM,SC,VELLORE,CHENNAI CITY REGION,15,72.56,0.86,yes,111,0.05,2.33,AETN187628,24338,3.0,IND,10809.0,GUDIYATTAM,True,False,1.0,False,False,True,,,,,,Lost,80032
46,7,Rajan.C,M,IJK,482,50.0,211630,291662,GUDIYATHAM,SC,VELLORE,CHENNAI CITY REGION,15,72.56,0.23,yes,33,0.02,2.33,AETN191241,3969,2.0,LJP,5029.0,GUDIYATTAM,True,False,0.0,True,False,False,12th Pass,Social Work,,,,Lost,80032
47,4,T.S.VAKEEL AHMED,M,AIMIM,1897,38.0,189997,251485,VANIAYAMBADI,GEN,VELLORE,CHENNAI CITY REGION,13,75.55,1.0,yes,29,0.02,2.5,AETN187646,706,2.0,AIMIM,706.0,VANIYAMBADI,True,True,0.0,False,False,True,Others,Business,,,,Lost,61488
48,1,VILWANATHAN.A.C,M,DMK,90476,61.0,177878,240343,AMBUR,GEN,VELLORE,CHENNAI CITY REGION,13,74.01,50.86,no,20232,11.37,2.38,AETN276303,10192,2.0,DMK,10192.0,AMBUR,True,True,2.0,False,True,True,10th Pass,Agriculture,,,,Won,62465
48,7,WAZEER AHMED.J,M,BSP,681,49.0,177878,240343,AMBUR,GEN,VELLORE,CHENNAI CITY REGION,13,74.01,0.38,yes,318,0.18,2.38,AETN187650,16651,3.0,BSP,16651.0,VANIYAMBADI,False,True,0.0,False,False,True,5th Pass,Business,,,,Lost,62465
48,14,KAREEM BASHA.A,M,Rashtriya Ulama Council,82,48.0,177878,240343,AMBUR,GEN,VELLORE,CHENNAI CITY REGION,13,74.01,0.05,yes,0,0.0,2.38,AETN276307,6870,2.0,MNM,24404.0,AMBUR,True,False,0.0,True,False,True,Post Graduate,Other,,,,Lost,62465
49,2,VEERAMANI.K.C.,M,ADMK,88399,56.0,196358,242477,JOLARPET,GEN,VELLORE,CHENNAI CITY REGION,13,80.98,45.02,no,75071,38.23,2.44,AETN191259,930,3.0,ADMK,930.0,JOLARPET,True,True,2.0,False,True,True,10th Pass,Agriculture,,,,Lost,46119
49,6,KALASTHRI.S.,M,All India Uzhavargal Uzhaippalargal Katchi,870,71.0,196358,242477,JOLARPET,GEN,VELLORE,CHENNAI CITY REGION,13,80.98,0.44,yes,251,0.13,2.44,AETN271206,24408,2.0,UUK,24916.0,TIRUCHIRAPPALLI (WEST),False,False,0.0,True,False,False,10th Pass,Agriculture,,,,Lost,46119
49,8,SIVAKUMAR.V.C.,M,BSP,347,42.0,196358,242477,JOLARPET,GEN,VELLORE,CHENNAI CITY REGION,13,80.98,0.18,yes,130,0.07,2.44,AETN187683,16651,2.0,IND,10809.0,JOLARPET,True,False,0.0,False,False,True,,Other,,,,Lost,46119
50,1,A. NALLATHAMBI,M,DMK,96522,45.0,185930,241561,TIRUPPATTUR,GEN,VELLORE,CHENNAI CITY REGION,15,76.97,51.91,no,28240,15.19,2.5,AETN187684,10192,2.0,DMK,10192.0,TIRUPATTUR,True,True,2.0,False,True,True,10th Pass,Business,,,,Won,55631
50,2,T.K. RAJA,M,PMK,68282,55.0,185930,241561,TIRUPPATTUR,GEN,VELLORE,CHENNAI CITY REGION,15,76.97,36.72,no,56155,30.2,2.5,AETN196688,11891,5.0,PMK,11891.0,TIRUPATTUR,True,True,2.0,False,False,True,10th Pass,Business,,,,Lost,55631
50,7,S. KALASHTHRI,M,All India Uzhavargal Uzhaippalargal Katchi,724,71.0,185930,241561,TIRUPPATTUR,GEN,VELLORE,CHENNAI CITY REGION,15,76.97,0.39,yes,205,0.11,2.5,AETN271206,24408,2.0,UUK,24916.0,TIRUCHIRAPPALLI (WEST),False,False,0.0,True,False,False,10th Pass,Agriculture,,,,Lost,55631
53,2,SENGUTTUVAN.T,M,DMK,95256,68.0,211648,269615,KRISHNAGIRI,GEN,KRISHNAGIRI,WESTERN REGION,15,78.5,45.01,no,84119,39.74,2.44,AETN194334,10192,5.0,DMK,10192.0,KRISHNAGIRI,True,True,3.0,False,True,True,10th Pass,Business,,,,Lost,57967
53,6,CHANDRAMOHAN.K.M,M,NCP,1088,50.0,211648,269615,KRISHNAGIRI,GEN,KRISHNAGIRI,WESTERN REGION,15,78.5,0.51,yes,230,0.11,2.44,AETN191305,5792,3.0,NCP,5792.0,KRISHNAGIRI,True,True,0.0,False,False,True,8th Pass,Business,,,,Lost,57967
54,1,K.P.Munusamy,M,ADMK,94104,68.0,205141,252294,VEPPANAHALLI,GEN,KRISHNAGIRI,WESTERN REGION,15,81.31,45.87,no,3054,1.49,2.44,AETN191297,930,7.0,ADMK,930.0,PENNAGARAM,False,True,4.0,False,False,True,Graduate Professional,Liberal Profession or Professional,Lawyer,Agriculture,,Won,47153
55,2,JYOTHI S,F,ADMK,105864,44.0,248098,353970,HOSUR,GEN,KRISHNAGIRI,WESTERN REGION,18,70.09,42.67,no,94442,38.07,2.44,AETN276409,930,2.0,ADMK,,HOSUR,True,True,0.0,False,False,True,Graduate Professional,Education,Home Teacher or Tuition,,,Lost,105872
55,7,RAMASWAMY G C,M,IND,629,64.0,248098,353970,HOSUR,GEN,KRISHNAGIRI,WESTERN REGION,18,70.09,0.25,yes,44,0.02,2.44,AETN191320,10809,2.0,IND,10809.0,HOSUR,True,True,0.0,False,False,False,5th Pass,Agriculture,,,,Lost,105872
55,13,BALARAJU N,M,IND,132,47.0,248098,353970,HOSUR,GEN,KRISHNAGIRI,WESTERN REGION,18,70.09,0.05,yes,5,0.0,2.44,AETN187783,10809,2.0,IND,10809.0,HOSUR,True,True,0.0,False,False,False,10th Pass,Business,,,,Lost,105872
55,16,DEVAPPA Y,M,IND,81,53.0,248098,353970,HOSUR,GEN,KRISHNAGIRI,WESTERN REGION,18,70.09,0.03,yes,8,0.0,2.44,AETN187771,10809,2.0,IND,10809.0,HOSUR,True,True,0.0,False,False,False,10th Pass,Business,,,,Lost,105872
56,1,RAMACHANDRAN.T,M,CPI,120641,53.0,194022,251780,THALLI,GEN,KRISHNAGIRI,WESTERN REGION,12,77.06,62.18,no,56226,28.98,2.0,AETN271718,2444,3.0,CPI,2444.0,THALLI,True,True,3.0,False,False,False,Graduate Professional,Social Work,,,,Won,57758
57,1,ANBALAGAN.K.P.,M,ADMK,110070,62.0,206595,236459,PALACODE,GEN,DHARMAPURI,WESTERN REGION,12,87.37,53.28,no,28100,13.6,2.27,AETN250010,930,5.0,ADMK,930.0,PALACODE,True,True,5.0,False,True,True,12th Pass,Politics,Party Worker,Agriculture,,Won,29864
57,2,MURUGAN.P.K.,M,DMK,81970,53.0,206595,236459,PALACODE,GEN,DHARMAPURI,WESTERN REGION,12,87.37,39.68,no,74266,35.95,2.27,AETN187796,10192,2.0,DMK,10192.0,PALACODE,True,True,0.0,False,False,True,Graduate Professional,Liberal Profession or Professional,Lawyer,,,Lost,29864
57,4,VIJAYASANKAR.P.,M,DMDK,2409,44.0,206595,236459,PALACODE,GEN,DHARMAPURI,WESTERN REGION,12,87.37,1.17,yes,1058,0.51,2.27,AETN194381,2956,2.0,DMDK,2956.0,PALACODE,True,True,0.0,False,False,False,12th Pass,Politics,Party Worker,,,Lost,29864
57,10,MURUGAN.K.G.,M,IND,169,43.0,206595,236459,PALACODE,GEN,DHARMAPURI,WESTERN REGION,12,87.37,0.08,yes,49,0.02,2.27,AETN187806,10809,2.0,IND,10809.0,PALACODE,True,True,0.0,False,False,True,Graduate,Agriculture,,,,Lost,29864
58,1,MANI. G.K,M,PMK,106123,69.0,210305,247417,PENNAGARAM,GEN,DHARMAPURI,WESTERN REGION,15,85.0,50.46,no,21186,10.07,2.44,AETN203123,11891,7.0,PMK,11891.0,METTUR,False,True,4.0,False,False,True,12th Pass,Politics,Party Worker,,,Won,37112
58,2,INBASEKARAN. P.N.P,M,DMK,84937,37.0,210305,247417,PENNAGARAM,GEN,DHARMAPURI,WESTERN REGION,15,85.0,40.39,no,75992,36.13,2.44,AETN272179,10192,4.0,DMK,10192.0,PENNAGARAM,True,True,2.0,False,True,True,Post Graduate,Agriculture,,,,Lost,37112
60,1,GOVINDASAMY.A,M,ADMK,114507,49.0,220994,269012,PAPPIREDDIPPATTI,GEN,DHARMAPURI,WESTERN REGION,15,82.15,51.81,no,36943,16.72,2.5,AETN276465,930,2.0,ADMK,,PAPPIREDDIPPATTI,False,True,2.0,False,True,True,12th Pass,Agriculture,,,,Won,48018
60,2,PRABHURAJASEKAR.M,M,DMK,77564,37.0,220994,269012,PAPPIREDDIPPATTI,GEN,DHARMAPURI,WESTERN REGION,15,82.15,35.1,no,61701,27.92,2.5,AETN187842,10192,2.0,DMK,10192.0,PAPPIREDDIPPATTI,False,True,0.0,False,False,False,Graduate Professional,Liberal Profession or Professional,Doctor,,,Lost,48018
60,3,PALANIAPPAN.P,M,AMMK,15863,59.0,220994,269012,PAPPIREDDIPPATTI,GEN,DHARMAPURI,WESTERN REGION,15,82.15,7.18,yes,8290,3.75,2.5,GETN272319,24338,3.0,ADMK,930.0,PAPPIREDDIPPATTI,False,False,2.0,True,False,False,Post Graduate,Agriculture,,,,Lost,48018
60,7,GOPI.K,M,BSP,625,45.0,220994,269012,PAPPIREDDIPPATTI,GEN,DHARMAPURI,WESTERN REGION,15,82.15,0.28,yes,193,0.09,2.5,AETN187845,16651,2.0,BSP,16651.0,PAPPIREDDIPPATTI,False,True,0.0,False,False,False,8th Pass,Business,,,,Lost,48018
61,1,SAMPATHKUMAR.V,M,ADMK,99061,46.0,198565,253078,HARUR,SC,DHARMAPURI,WESTERN REGION,13,78.46,49.89,no,30362,15.29,2.63,AETN276399,930,2.0,ADMK,,HARUR,True,True,2.0,False,True,True,Graduate Professional,Other,,,,Won,54513
61,14,SARATHKUMAR.M,M,IND,154,31.0,198565,253078,HARUR,SC,DHARMAPURI,WESTERN REGION,13,78.46,0.08,yes,0,0.0,2.63,AETN276407,10809,2.0,IND,10809.0,HARUR,True,True,0.0,False,False,True,10th Pass,Labourer or Daily Wage,Taxi Driver,,,Lost,54513
62,1,GIRI.M.P,M,DMK,108081,46.0,223950,277646,CHENGAM,SC,TIRUVANNAMALAI,CHENNAI CITY REGION,15,80.66,48.26,no,11570,5.17,2.38,AETN187867,10192,2.0,DMK,10192.0,CHENGAM,True,True,2.0,False,True,True,12th Pass,Business,,Agriculture,,Won,53696
62,3,VENNILA.S,F,NTK,12080,34.0,223950,277646,CHENGAM,SC,TIRUVANNAMALAI,CHENNAI CITY REGION,15,80.66,5.39,yes,9311,4.16,2.38,AETN187875,5533,2.0,NTK,5533.0,CHENGAM,True,True,0.0,False,False,True,12th Pass,Other,,,,Lost,53696
62,10,DHINAKARAN.H,M,IND,200,36.0,223950,277646,CHENGAM,SC,TIRUVANNAMALAI,CHENNAI CITY REGION,15,80.66,0.09,yes,26,0.01,2.38,AETN187872,10809,2.0,IND,10809.0,CHENGAM,True,True,0.0,False,False,True,12th Pass,Labourer or Daily Wage,,,,Lost,53696
62,15,ANBAZHAGAN.P.G,M,IND,112,50.0,223950,277646,CHENGAM,SC,TIRUVANNAMALAI,CHENNAI CITY REGION,15,80.66,0.05,yes,13,0.01,2.38,AETN191398,10809,2.0,IND,10809.0,CHENGAM,True,True,0.0,False,False,False,Post Graduate,Unemployed,,,,Lost,53696
63,1,E V VELU,M,DMK,137876,71.0,208836,291304,TIRUVANNAMALAI,GEN,TIRUVANNAMALAI,CHENNAI CITY REGION,15,71.69,66.02,no,94673,45.33,2.08,AETN193966,10192,3.0,DMK,10192.0,TIRUVANNAMALAI,True,True,3.0,False,False,False,Post Graduate,Politics,Party Worker,Agriculture,,Won,82468
63,7,J JAMEEL BASHA,M,IND,780,41.0,208836,291304,TIRUVANNAMALAI,GEN,TIRUVANNAMALAI,CHENNAI CITY REGION,15,71.69,0.37,yes,232,0.11,2.08,AETN187888,10809,2.0,IND,10809.0,TIRUVANNAMALAI,True,True,0.0,False,False,True,Graduate Professional,Small Business or Self-employed,Self-employed,,,Lost,82468
64,1,K.Pitchandi,M,DMK,104675,67.0,203886,256945,KILPENNATHUR,GEN,TIRUVANNAMALAI,CHENNAI CITY REGION,21,79.35,51.34,no,26787,13.14,2.44,AETN187903,10192,8.0,DMK,10192.0,KILPENNATHUR,True,True,6.0,False,True,True,Post Graduate,Agriculture,,,,Won,53059
64,3,Dr.R.Rameshbabu,M,NTK,11541,44.0,203886,256945,KILPENNATHUR,GEN,TIRUVANNAMALAI,CHENNAI CITY REGION,21,79.35,5.66,yes,9350,4.59,2.44,GETN270058,5533,2.0,NTK,5533.0,KILPENNATHUR,True,True,0.0,False,False,True,Post Graduate,Liberal Profession or Professional,Doctor,,,Lost,53059
64,10,A.R.Elumalai,M,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,504,55.0,203886,256945,KILPENNATHUR,GEN,TIRUVANNAMALAI,CHENNAI CITY REGION,21,79.35,0.25,yes,87,0.04,2.44,AETN187916,24301,2.0,IND,10809.0,KILPENNATHUR,True,False,0.0,False,False,True,8th Pass,Agriculture,,,,Lost,53059
64,11,M.Sampathraj,M,IND,417,40.0,203886,256945,KILPENNATHUR,GEN,TIRUVANNAMALAI,CHENNAI CITY REGION,21,79.35,0.2,yes,9,0.0,2.44,AETN187915,10809,3.0,IND,10809.0,KILPENNATHUR,True,True,0.0,False,False,True,Graduate,Labourer or Daily Wage,,,,Lost,53059
65,2,Panneerselvam.V,M,ADMK,84912,50.0,196434,244442,KALASAPAKKAM,GEN,TIRUVANNAMALAI,CHENNAI CITY REGION,15,80.36,43.23,no,76090,38.74,2.38,GETN10302,930,2.0,ADMK,930.0,KALASAPAKKAM,True,True,1.0,False,True,True,10th Pass,Business,,Agriculture,,Lost,48008
65,3,Balaji.E,M,NTK,8822,35.0,196434,244442,KALASAPAKKAM,GEN,TIRUVANNAMALAI,CHENNAI CITY REGION,15,80.36,4.49,yes,6066,3.09,2.38,AETN187928,5533,2.0,NTK,5533.0,KALASAPAKKAM,True,True,0.0,False,False,True,Graduate Professional,Agriculture,,,,Lost,48008
65,4,Nehru.M,M,DMDK,2756,57.0,196434,244442,KALASAPAKKAM,GEN,TIRUVANNAMALAI,CHENNAI CITY REGION,15,80.36,1.4,yes,1163,0.59,2.38,AETN187924,2956,2.0,DMDK,2956.0,KALASAPAKKAM,True,True,0.0,False,False,True,10th Pass,Business,Real Estate or Builder or Developer or Construction,,,Lost,48008
