Constituency_No,Position,Candidate,Sex,Party,Votes,Age,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_ID,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,Education_Qualification,Main_Profession,Main_Profession_Desc,Second_Profession,Second_Profession_Desc,Result,Invalid_Votes
7,2,BENJAMIN.P,M,ADMK,89577,51.0,273870,454179,MADURAVOYAL,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,60.3,32.71,no,56176,20.51,3.03,AETN186887,930,2.0,ADMK,930.0,MADURAVOYAL,True,True,1.0,False,True,True,Graduate,Politics,Party Worker,Agriculture,,Lost,180309
7,21,RAVI.C.V,M,IND,48,43.0,273870,454179,MADURAVOYAL,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,60.3,0.02,yes,0,0.0,3.03,AETN186899,10809,2.0,IND,10809.0,MADURAVOYAL,True,True,0.0,False,False,True,Others,Other,,,,Lost,180309
8,2,V ALEXANDER,M,ADMK,72408,49.0,240299,387516,AMBATTUR,GEN,TIRUVALLUR,CHENNAI CITY REGION,23,62.01,30.13,no,49707,20.69,2.94,AETN186901,930,2.0,ADMK,930.0,AMBATTUR,True,True,1.0,False,True,True,Graduate Professional,Agriculture,,,,Lost,147217
8,3,R ANBU THENARASAN,M,NTK,22701,57.0,240299,387516,AMBATTUR,GEN,TIRUVALLUR,CHENNAI CITY REGION,23,62.01,9.45,yes,331,0.14,2.94,AETN186906,5533,2.0,NTK,5533.0,AMBATTUR,True,True,0.0,False,False,True,,,,,,Lost,147217
8,5,S VEDHACHALAM,M,AMMK,2631,67.0,240299,387516,AMBATTUR,GEN,TIRUVALLUR,CHENNAI CITY REGION,23,62.01,1.09,yes,273,0.11,2.94,AETN190637,24338,2.0,ADMK,930.0,AMBATTUR,True,False,1.0,True,False,False,,,,,,Lost,147217
8,11,NARMADA NANDHAKUMAR,F,IND,177,43.0,240299,387516,AMBATTUR,GEN,TIRUVALLUR,CHENNAI CITY REGION,23,62.01,0.07,yes,15,0.01,2.94,AETN186914,10809,2.0,IND,10809.0,AMBATTUR,True,True,0.0,False,False,True,Post Graduate,Business,Agricultural Business,,,Lost,147217
8,21,N Ganesan,M,IND,55,49.0,240299,387516,AMBATTUR,GEN,TIRUVALLUR,CHENNAI CITY REGION,23,62.01,0.02,yes,0,0.0,2.94,AETN186919,10809,2.0,IND,10809.0,AMBATTUR,True,True,0.0,False,False,True,,,,,,Lost,147217
8,22,P Dhanraj,M,IND,55,66.0,240299,387516,AMBATTUR,GEN,TIRUVALLUR,CHENNAI CITY REGION,23,62.01,0.02,yes,11,0.0,2.94,AETN186924,10809,2.0,IND,10809.0,AMBATTUR,True,True,0.0,False,False,True,8th Pass,Business,Real Estate or Builder or Developer or Construction,,,Lost,147217
8,24,G Vijayakumar,M,IND,39,63.0,240299,387516,AMBATTUR,GEN,TIRUVALLUR,CHENNAI CITY REGION,23,62.01,0.02,yes,0,0.0,2.94,AETN186927,10809,2.0,IND,10809.0,AMBATTUR,True,True,0.0,False,False,True,8th Pass,Business,Real Estate or Builder or Developer or Construction,,,Lost,147217
9,1,SUDHARSANAM. S,M,DMK,151485,62.0,302700,456079,MADAVARAM,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,66.37,50.04,no,57071,18.85,2.78,AETN186928,10192,2.0,DMK,10192.0,MADAVARAM,True,True,2.0,False,True,True,Post Graduate,Liberal Profession or Professional,Lawyer,Agriculture,,Won,153379
9,2,Moorthy. V,M,ADMK,94414,62.0,302700,456079,MADAVARAM,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,66.37,31.19,no,66961,22.12,2.78,AETN190653,930,3.0,ADMK,930.0,MADAVARAM,True,True,1.0,False,False,False,Graduate,Business,,Politics,Party Worker,Lost,153379
9,3,ELUMALAI. R,M,NTK,27453,55.0,302700,456079,MADAVARAM,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,66.37,9.07,yes,11576,3.82,2.78,AETN186933,5533,2.0,NTK,5533.0,MADAVARAM,True,True,0.0,False,False,True,Graduate Professional,Liberal Profession or Professional,Lawyer,,,Lost,153379
9,5,DHAKSHNAMOORTHY. D,M,AMMK,7104,45.0,302700,456079,MADAVARAM,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,66.37,2.35,yes,4938,1.63,2.78,AETN186929,24338,2.0,ADMK,930.0,MADAVARAM,True,False,0.0,True,False,True,Graduate,Business,,,,Lost,153379
10,2,K.KUPPAN,M,ADMK,50524,67.0,199996,306977,THIRUVOTTIYUR,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,65.15,25.26,no,1927,0.96,3.23,AETN272026,930,2.0,ADMK,930.0,THIRUVOTTIYUR,True,True,1.0,False,False,False,Graduate,Business,Contractor,,,Lost,106981
10,18,B.ZAKIR HUSSAIN,M,IND,71,47.0,199996,306977,THIRUVOTTIYUR,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,65.15,0.04,yes,19,0.01,3.23,AETN201064,10809,3.0,IND,10809.0,THIRUVOTTIYUR,True,True,0.0,False,False,True,Graduate Professional,Liberal Profession or Professional,Lawyer,,,Lost,106981
